PostCode	Area Covered	Population	Households	# Postcodes	Active Postcodes	Non-Geographic Postcodes 	Center Latitude 	Center Longitude
ML 	Motherwell 	382997	168005	11574	9589	0	55.7766	-3.94396
N 	North London 	847197	344938	28816	17586	47	51.5853	-0.114038
NE 	Newcastle upon Tyne 	1162976	510229	44491	33048	0	55.0359	-1.64216
NG 	Nottingham 	1163617	493228	36711	28669	0	53.0054	-1.07257
NN 	Northampton 	653055	272356	24444	16213	0	52.2889	-0.841804
NP 	Newport 	488569	206539	27763	13633	0	51.673	-3.01627
NR 	Norwich 	722618	315784	27836	23235	0	52.646	1.34069
NW 	North West London 	553732	222208	25104	14214	0	51.5547	-0.196788
OL 	Oldham 	462590	188194	17524	13028	0	53.5817	-2.12593
OX 	Oxford 	613492	242551	34166	19413	0	51.7959	-1.29043
PA 	Paisley 	321350	148778	12788	9288	0	56.0713	-4.91337
PE 	Peterborough 	890470	373108	38333	26192	0	52.6275	-0.0447047
PH 	Perth 	165118	73021	7292	6047	0	56.5627	-3.73434
PL 	Plymouth 	543016	232152	22071	17374	0	50.4277	-4.32543
PO 	Portsmouth 	822540	352453	32366	23975	0	50.8019	-1.03529
PR 	Preston 	520366	219388	19575	12915	0	53.7222	-2.75207
RG 	Reading 	778419	314408	45060	22939	0	51.4046	-1.02849
RH 	Redhill 	531923	217143	23688	15943	0	51.1104	-0.208512
RM 	Romford 	517305	205322	14916	9833	0	51.547	0.217283
S 	Sheffield 	1358186	578058	48474	33298	0	53.3941	-1.41235
SA 	Swansea 	730075	315791	29030	23134	0	51.7607	-4.20674
SE 	South East London 	988126	412444	33476	20559	52	51.4669	-0.0359002
SG 	Stevenage 	402479	167182	16563	11766	0	51.9466	-0.159438
SK 	Stockport 	603540	260549	24655	16368	0	53.3715	-2.09802
SL 	Slough 	373407	144554	16470	10732	0	51.5153	-0.642199
SM 	Sutton 	217171	87907	6537	4362	0	51.3628	-0.184626
SN 	Swindon 	458798	191252	21011	14334	0	51.5056	-1.89442
SO 	Southampton 	665472	276330	39581	18210	0	50.9294	-1.39222
SP 	Salisbury 	232282	94658	11127	8489	0	51.1083	-1.77968
SR 	Sunderland 	250843	109612	8548	6550	8	54.8765	-1.38939
SS 	Southend-on-Sea 	518631	216682	17033	11817	0	51.5621	0.600009
ST 	Stoke-on-Trent 	644416	275646	22338	17531	0	52.9779	-2.14621
SW 	South West London 	877183	382790	35938	20422	0	51.4641	-0.167491
SY 	Shrewsbury 	341952	144660	17004	14310	0	52.664	-3.04848
TA 	Taunton 	322408	139414	14461	11587	0	51.0558	-3.06814
TD 	Galashiels 	112644	52111	5179	4458	0	55.614	-2.52554
TF 	Telford 	212536	85637	9046	6888	0	52.7133	-2.46192
TN 	Tonbridge 	681747	286228	32043	22526	0	51.0852	0.441371
TQ 	Torquay 	281112	125365	12992	9930	0	50.4589	-3.61606
TR 	Truro 	294061	127803	15013	11910	0	50.2103	-5.24449
TS 	Cleveland 	602320	256341	22635	17341	0	54.5849	-1.22364
TW 	Twickenham 	491918	193508	19805	11144	0	51.4486	-0.390168
UB 	Southall 	371413	126879	11351	7098	0	51.5278	-0.417388
W 	West London 	531690	236493	39650	19108	0	51.5115	-0.192296
WA 	Warrington 	616482	261804	25269	18069	0	53.3905	-2.59133
WC 	Central London 	35745	15757	7388	2729	0	51.5176	-0.122628
WD 	Watford 	256476	103336	15744	7319	0	51.6587	-0.393803
WF 	Wakefield 	512784	214107	17970	14278	0	53.6855	-1.49719
WN 	Wigan 	309156	131514	9020	7088	0	53.5344	-2.63754
WR 	Worcester 	287838	122730	12258	8586	0	52.1631	-2.16862
WS 	Walsall 	449728	181669	14665	9992	0	52.6491	-1.95757
WV 	Wolverhampton 	396187	162933	14122	10435	59	52.5807	-2.16218
YO 	York 	562761	242140	33790	18357	0	54.0449	-0.887597
ZE 	Lerwick 	23086	9915	742	647	0	60.2216	-1.1984
