Brand Name	Generic Name
Anoro Ellipta 	umeclidinium and vilanterol inhalation powder
Apidra 	insulin glulisine
Apligraf 	bi-layered skin substitute
Apriso 	mesalamine extended release
Aptiom Tablet 	eslicarbazepine acetate
Aptivus capsules 	tipranavir
Aranesp 	darbepoetin alfa
Arestin 	minocycline
Arikayce 	amikacin liposome inhalation suspension
Arimidex 	anastrazole
Aristada 	aripiprazole lauroxil
Armour Thyroid 	thyroid
Arnuity Ellipta 	fluticasone furoate inhalation powder
Aromasin 	exemestane
Arranon 	nelarabine
Arthrotec 	diclofenac sodium/misoprostol
Arzerra 	ofatumumab
Asmanex HFA 	mometasone furoate
Asmanex Twisthaler 	mometasone furoate inhalation powder
Atgam 	lymphocyte immune globulin/anti-thymocyte globulin
Atopiclair Cream 	nonsteroidal cream
Atripla 	efavirenx/emtricitabine/tenofovir disoproxil fumarate
Atrovent HFA Inhalation Aerosol 	ipratropium bromide
Aubagio tablets 	teriflunomide
Auryxia Tablet 	ferric citrate
Austedo 	deutetrabenazine
Auvi-Q 	epinephrine injection
Avandia tablets 	rosiglitazone maleate
Avastin 	bevacizumab
Avonex 	interferon beta-1a
Avsola injection 	infliximab-axxq
Avycaz Vials 	ceftazidime/avibactam
Aygestin 	norethindrone acetate tablet
Ayvakit tablet 	avapritnib tablet
Azopt 	brinzolamide suspension
Azulfidine 	sulfasalazine
Bacitracin 	bacitracin
Balversa 	erdafitinib
Banzel 	rufinamide
Baqsimi 	glucagon
Baraclude 	entecavir
Basaglar 	insulin glargine injection
Bavencio 	avelumab injection
BCAD 	medical food
Beconase AQ (nasal spray) 	beclomethasone dipropionate
Beleodaq Powder 	belinostat
Belsomra 	suvorexant
Bendeka Injection 	bendamustine HCl
BeneFIX injection 	recombinant
Benlysta 	belimumab
Benzamycin Topical Gel 	erythromycin; benzoyl peroxide
Beovu 	brolucizumab-dbll
Bepreve Ophthalmic Solution 1.5% 	bepotastine besilate
Berinert 	c1 esterase inhibitor
Besivance 	besifloxacin ophthalmic suspension
Besponsa 	inotuzumab ozogamicin
Betaseron 	interferon beta-1b
Bethkis Inhalation Solution 	tobramycin
Bevespi Aerosphere 	glycopyrrolate and formoterol fumarate
Beyaz 	drospirenon/ethinyl estradiol/levomefolate calcium
Biafine 	biafine
BiDil 	isosorbide dinitrate and hydralazine hydrochloride
Biktarvy 	bictegravir/emtricitabine/tenofovir alafenamide
Biltricide 	praziquantel
Blenrep 	belantamab mafodotin
Blincyto 	blinatumomab
Boost Kid Essentials 	nutritional supplement
Boost Kid Essentials 1.5 	nutritional supplement
Boost Kid Essentials 1.5 Fiber 	nutritional supplement
Boost Original 	nutritional supplement
Boost Plus 	nutritional supplement
Boost VHC 	nutritional supplement
Bosulif 	bosutinib
Botox 	botulinum toxin type A
Braftovi capsules 	encorafenib
Breo Ellipta 	fluticasone furoate and vilanterol inhalation powder
Brilinta Tablets 	ticagrelor
Brineura 	cerliponase alpa
Briviact 	brivaracetam
Bryhali lotion 	halobetasol propionate
Buphenyl Powder 	sodium phenylbutyrate
Buphenyl Tablet 	sodium phenylbutyrate
Bydureon 	exenatide extended-release for injection suspension
Bydureon BCise 	exenatide extended-release
Byetta 	exenatide
Bystolic 	nebivolol
Cablivi 	caplacizumab-YHDP
Cabometyx 	cabozantinib s-malate
Caduet 	amlodipine besylate/atorvastatin calcium
Calan 	verapamil HCl
Calcilo XD Powder 	Calcilo XD Powder
Calquence 	acalabrutinib
Camptosar 	irinotecan hcl
Canasa 	mesalamine
Cancidas 	caspofungin acetate
Caplyta 	lumateperone
Caprelsa 	vandetanib
Carac Cream 	fluorouracil cream
Carafate 	sucralfate
Carbaglu 	carglumic acid
Carbatrol 	carbamazepine
Cardura 	doxazosin mesylate
Carimune NF 	nanofiltered immune globulin intravenous (human)
Cathflo 	alteplase
Caverject 	alprostadil
Cayston 	aztreonam for inhalation solution
Celebrex 	celecoxib
CellCept 	mycophenolate mofetil
Celontin 	methsuximide
Cerdelga 	eliglustat capsule
Cerezyme 	imiglucerase
Chantix 	varenicline
Chemet Capsules 	succimer
Cholbam capsule 	cholic acid capsule
Cialis 	tadalafil
CIMZIA 	certolizumab pegol
Cinqair 	reslizumab
Cinryze 	c1 esterase inhibito
Cinvanti 	aprepitant injectable emulsion; iv
Cipro HC Otic 	ciprofloxacin hydrochloride and hydrocortisone suspension
Ciprodex 	ciprofloxacin and dexamethasone
Cleocin 	clindamycin phosphate
Cleocin Phosphate 	clindamycin phosphate
Climara Pro 0.045mg/.015mg 	estradiol/levonorgestrel transdermal system
Clindagel Topical Gel 	clinclamycin phosphate gel
Clozapine 	clozapine
Coagadex 	Coagulation Factor X, Human
Coartem 	artmether and lumefantrine tablets
Colazal 	balsalazide
Colcrys tablet 	colchicine
Colestid 	colestipol hcl
Combigan 	brimonidine tartrate/timolol maleate opthalmic solution
Combivent Inhalation Aerosol 	ipratropium bromide; albuterol sulfate
Combivir tablets 	lamivudine/ziovudine tablets
Cometriq capsule 	cabozantinib s-malate capsule
Compleat 	compleat
Compleat Organic Blends 	medical food
Compleat Pediatric 	compleat pediatric
Compleat Pediatric Organic Blends 	medical food
Compleat Pediatric Reduced Calorie 	medical food
Complera 	emtricitabine/rilpivirine/tenofovir disoproxil fumarate
Concerta 	methyphenidate HCI
Copaxone 	glatiramer acetate
Copiktra 	duvelisib
Coreg CR 	carvedilol phosphate extended release capsules
Corifact 	factor xiii concentrate (human)
Corlanor 	ivabradine
Cortef 	hydrocortisone cypionate
Corvert 	ibutilide fumarate
Cosentyx 	secukinumab
Cosmegen Injection 	dactinomycin injectable
Cotellic 	cobimetinib
Creon Delayed-Release capsules 	pancrelipase
Cresemba Capsule 	isavuconazonium sulfate
Cresemba Injection 	isavuconazonium sulfate
Crinone 	progesterone gel
Crixivan 	indinavir sulfate
Crysvita 	burosumab-twza injection
Cubicin injection 	daptomycin
Cuprimine capsules 	penicillamine
Cuvitru 	Immune Globulin Subcutaneous (Human)
Cyclinex-1 Powder 	Cyclinex-1 Powder
Cyclinex-2 Powder 	Cyclinex-2 Powder
Cycloset tablet 	bromocriptine mesylate tablets
Cyklokapron 	tranexamic acid
Cymbalta 	duloxetine hcl
Cyramza 	ramucirumab injection
Cytal Burn Matrix 	medical device
Cytal Wound Matrix 	medical device
CytoGam Injection 	Cytomegalovirus Immune Globulin Intravenous Human CMV-IGIV injection; iv
Cytomel 	liothyronine sodium
Cytotec 	misoprostol
Cytra-K 	potassium citrate
Daliresp 	roflumilast
Dalvance Vials 	dalbavancin
Daraprim tablet 	pyrimethamine
Darzalex 	daratumumab
Darzelex Faspro 	daratumumab and hyaluronidase-fihj, Injection for subcutaneous use
Daurismo 	glasdegib sodium
Daypro 	oxaprozin
Dayvigo 	lemborexant tablet
Defitelio 	Defibrotide sodium
Delstrigo 	doravirine, lamivudine, and tenofovir disoproxil fumarate
Delzicol DR Capsules 	mesalamine
Demser capsules 	metyrosine
Depakote 	divalproex
Depakote ER Tablets 	divalproex sodium extended release tablets
Depo Estradiol 	estrodiol cypionate in oil
Depo Provera 	medroxyprogesterone contraceptive injection
Depo-Medrol 	sterile methylprednisolone acetate
Depo-subQ Provera 104 	medroxyprogesterone acetate
Depo-Testosterone 	testosterone cypionate
Dermagraft Dermal Substitute 2x3 	dermagraft
Descovy 	emtricitabine/tenofovir alafenamide
Desoxyn tablet 	methamphetamine hydrochloride
Detachol 	adhesive remover
Detrol 	tolterodine tartrate tablet
Detrol LA 	tolterodine tartrate
Dexilant 	dexlansoprazole
Dextenza 	dexamethasone ophthalmic insert
Diabetisource AC 	diabetisource AC
Diflucan 	fluconazole
Dilantin 	phenytoin sodium capsule
Dojolvi 	triheptanoin liquid; oral
Doptelet 	avatrombopag
Droxia 	hydroxyurea
Duavee Tablet 	conjugated estrogens/bazedoxifene
Duexis Tablet 	ibuprofen/famotidine
Dulera Inhalation Aerosol 	mometasone furoate/formoterol fumarate dihydrate
Duobrii 	halobetasol propionate and tazarotene
Dupixent 	dupilumab injection
Durezol 	difluprednate emulsion
Durolane 	hyaluronic acid injection
Durysta 	bimatoprost implant
Dysport Injection 	abobotulinumtoxinA
Edarbi Tablet 	azilsartan medoxomil
Edarbyclor Tablet 	azilartan medoxomil/chlorthalidone
Edurant 	rilpivirne
Effexor XR 	venlafaxine
Efudex 	fluorouracil
Egrifta SV 	tesamorelin for injection
Elaprase Solution 	idsulfase
EleCare 	EleCare
EleCare Jr. 	medical food
Elelyso 	taliglucerase alfa powder
Elidel 	pimecrolimus
Eligard 	leuprolide acetate
Eliquis 	apixaban
Elitek 	rasburicase
Ellence 	epirubicin hcl
Elmiron 	pentosan polysulfate sodium
Eloctate Injection 	antihemophilic factor recombinant fc fusion protein
Elzonris 	tagraxofusp-erzs injection
Embeda 	morphine sulfate and naltrexone hydrochloride
Emcyt 	estramustine phosphate sodium
EMEND 	aprepitant
Emflaza 	deflazacort
Emgality injection 	galcanezumab-gnlm
Empliciti 	elotuzumab
Emtriva 	emtricitabine
Emverm 	mebendazole
Enbrel 	etanercept
Enemeez 	docusate sodium
Enfamil 	infant formula
Enfamom 	prenatal supplement
Enfaport 	medical food
Enhertu 	fam-trastuzumab deruxtecan-nxki
Enspryng injection 	satralizumab-mwge
Ensure 	Ensure
Ensure Plus 	Ensure Plus
Entresto 	sacubitril/valsartan
Entyvio Injection 	vedolizumab
Envarsus XR 	tacrolimus extended-release tablets
Epclusa 	sofosbuvir/velpatasvir tablet
Epidiolex 	cannabidiol
Epinephrine auto injector .15mg 	epinephrine auto injector
EpiPen 	epinephrine
EpiPen Jr 	epinephrine
Epivir 	lamivudine
Epivir-HBV oral solution 	lamivudine
Epivir-HBV tablets 	lamivudine
Epogen 	epoetin alfa
Epzicom tablets 	abacavir sulfate and lamivudine
Equetro 	carbamazepine
Eraxis 	anidulafungin IV
Erbitux 	cetuximab
Erivedge 	vismodegib
Erleada Tablets 	apalutamide
Erwinaze Injection 	asparaginase erwinia chrysanthemi
Esbriet 	pirfenidone
Esperoct solution 	antihemophilic factor recombinant injection; iv lyophilized powder
Estrace Cream 	estradiol vaginal cream
Estring 	estradiol vaginal ring
Evenity 	romosozumab
Evista 	raloxifene tablet
Evomela 	melphalan injection
Evrysdi 	risdiplam
Exjade 	deferasirox
Exondys 51 	eteplirsen injection
Extavia 	interferon beta-1b
Eylea injection 	aflibercept
Fabrazyme 	agalsidase beta
Famvir 	famciclovir tablet
Farxiga Tablet 	dapagliflozin
Farydak Capsule 	panobinostat
Fasenra 	benralizumab
Fasenra Pen 	benralizumab
Faslodex 	fulvestrant
Feiba VH powder 	coagulant complex inhibitor
Feldene 	piroxicam
Fensolvi 	leuprolide acetate
Feraheme Injection 	ferumoxytol
Ferriprox 	deferiprone
Fetzima Extended Release Capsules 	levomilnacipran
Fiasp 	insulin aspart injection
Fintepla 	fenfluramine
Firazyr Injection 	icatibant
Firdapse 	amifampridine tablet
Flagyl 	metronidazole
Flebogamma DIF 	immune globulin iv (human)
Flector Patch 1.3% 	diclofenac epolamine topical patch
Flexeril 	Cyclobenzaprine
Flovent Diskus 100mcg 	fluticasone propionate inhalation power
Flovent Diskus 250 mcg 	fluticasone propionate inhalation power
Flovent Diskus 50mcg 	fluticasone propionate inhalation power
Flovent HFA 110 mcg 	fluticasone propionate inhalation aerosol
Flovent HFA 220 mcg 	fluticasone propionate inhalation aerosol
Flovent HFA 44 mcg 	fluticasone propionate inhalation aerosol
Flumist Quadrivalent 	Influenza Vaccine Live, Intranasal
Folotyn 	pralatrexate injection
Forteo 	teriparatide
Fosrenol 	lanthanum carbonate
Fragmin 	dalteparin sodium
Fulphila 	pegfilgrastim-jmdb
Fuzeon 	enfuvirtide
Fycompa Tablet 	perampanel
GA 	medical food
Gabitril 	tiagabine HCI
Galzin 	zinc acetate
Gamifant 	emapalumab-lzsg
Gammagard 	immune globulin intravenous (human)
Gammaplex iv 	immune globulin; intravenous iv
Gamunex-C 	immune globulin; intravenous
Gardasil 9 	human papillomavirus 9valent recombinant
Gattex Injectable 	teduglutide
Gavreto 	pralsetinib
Gazyva 	obinutuzumab
Gelnique 	oxybutynin chloride
Gelsyn-3 	3 injection hyaluronic acid
Gengraf Capsules 	cyclosporine capsules, USP modified
Genotropin 	somatropin
Gentrix Hiatal 	medical device
Gentrix Surgical Matrix 	medical device
Genvoya 	elvitegravir/cobicistat/emtricitabine/tenofovir alafenamide
Geodon 	ziprasidone HCI
Gilenya 	fingolimod
Gilotrif Tablet 	afatinib
Givlaari 	givosiran
Glatopa 	glatiramer acetate injection
Gleevec 	imatinib mesylate
Gleostine capsule 	lomustine
GlucaGen Hypokit 	glucagon (rDNA) for injection
Glucagon 	glucagon
Glucerna 1.0 Cal 	glucerna
Glucerna 1.2 Cal 	Glucerna
Glucerna 1.5 Cal 	glucerna
Glucerna Shake 	Glucerna Shake
Glucotrol 	glipizide
Glutarex-1 Powder 	Glutarex-1 Powder
Glutarex-2 Powder 	Glutarex-2 Powder
Glynase PresTab 	micronized glyburide
Glyset 	miglitol
Glytrol 	glytrol
Glyxambi Tablet 	empagliflozin/linagliptin
Gocovri 	amantadine; extended release capsule
Granix Injection 	tbo-filgrastim
Gvoke PFS 	glucagon injection
Haegarda 	C1 esterase inhibitor human injection; subcutaneous
Halaven Injection 	eribulin mesylate
Halcion 	triazolam
Haldol Decanoate Injection 	haloperidol
Harvoni tablet 	ledipasvir/sofosbuvir
HCY 	medical food
Helixate FS 	antihemophilic factor (recombinant)
Hemabate 	carboprost tromethamine,USP
Hemlibra 	emicizumab-kxwh
Hemofil-M injection 	antihemophilic factor human
HepaGam B 	hepatitis B immune globulin i (human)
Heparin 	sodium injection
Hepsera 	adefovir dipivoxil
Herceptin 	trastuzumab
Herzuma 	trastuzumab-pkrb
Hetlioz 	tasimelteon capsule
Hi-Cal Drink 	nutritional supplement
Hizentra vial 20% 	immune globulin subcutaneous (human)
Hominex-1 Powder 	Hominex-1 Powder
Hominex-2 Powder 	Hominex-2 Powder
Horizant 	gabapentin enacarbil
Humalog Injection 	insulin lispro injection
Humalog KwikPen 	insulin lispro injection
Humalog KwikPen Mix 50/50 	insulin lispro injection (rDNA)
Humalog KwikPen Mix 75/25 	insulin lispro injection (rDNA)
Humalog Mix 50/50 	50% Insulin Lispro Protamine Suspension, 50% Insulin Lispro Injection (rDNA)
Humalog Mix 75/25 	human insulin lispro (rDNA)
Humate-P 	antihemophilic factor/von willebrand factor complex (Human)
HUMIRA 	adalimumab
Humulin 	insulin human (rDNA origin)
Humulin 70/30 	isophane human insulin (rDNA); human insulin (rDNA)
Humulin N Injection 	NPH human insulin (rDNA)
Humulin R Injection 	Regular human insulin (rDNA)
Humulin R U-500 Injection; Concentrated 	regular insulin human [rDNA Origin]
Hyalgan 	hyaluronate sodium
Hycamtin 	topotecan
Hycamtin injection 	topotecan HCl
Hylatopic Plus Cream 	Hylatopic Plus Cream
Hylatopic Plus Foam 	Hylatopic Plus Foam
Hylatopic Plus Lotion 	Hylatopic Plus Lotion
Hymovis 	high molecular weight viscoelastic hyaluronan
HyQvia Injectable 	immune globulin infusion human with recombinant human hyaluronidase
I-Valex-1 Powder 	I-Valex-1 Powder
I-Valex-2 Powder 	I-Valex-2 Powder
Ibrance 	palbociclib
Iclusig 	ponatinib
Idamycin 	idarubicin hcl
Idelvion 	coagulation factor IX (recombinant), albumin fusion protein
Idhifa 	enasidenib
Ilaris 	canakinumab
Ilevro 	nepafenac suspension
Ilumya 	tildrakizumab-asmn
Iluvien 	fluocinolone acetonide implant
Imbruvica 	ibrutinib
Imfinzi 	durvalumab
Imitrex (Nasal Spray) 	sumatriptan succinate
Imlygic 	talimogene laherparepvec
Imogam 	rabies immune globulin
Imovax 	rabies vaccine
Impact Peptide 1.5 	impact peptide 1.5
Inbrija 	levodopa inhalation powder
Increlex Injection 	mecasermin
Incruse Ellipta 	umeclidinium inhalation powder
InFed 	infed
Inflectra 	infliximab-dyyb
Ingrezza 	valbenazine
Injectafer 	ferric carboxymaltose injection
Inlyta 	axitinib
Inqovi 	decitabine and cedazuridine
Inrebic 	fedratinib
Inspra 	eplerenone
Intelence 	etravirine
Intron A 	interferon alfa-2b
Intuniv Extended Release Tablets 	guanfacine
Invanz 	ertapenem
Invega Sustenna 	paliperidone palmitate
Invega Trinza 	paliperidone palmitate
Invokamet 	canagliflozin-metformin
Invokamet XR 	canagliflozin/metformin HCI
Invokana 	canagliflozin
Iressa 	gefitinib
Isentress 	raltegravir
Isentress HD tablet 	raltegravir
Istodax injection 	romidepsin
Isturisa tablet 	osilodrostat
Ixempra 	ixabepilone
Ixinity injection 	coagulation factor IX (recombinant)
Jadenu Sprinkle granules 	deferasirox
Jadenu Tablet 	deferasirox
Jakafi Tablet 	ruxolitinib
Jalyn 	dutasteride and tamsulosin hydrochloride
Janumet 	sitagliptin/metformin HCL
Janumet XR 	sitagliptin/metformia HCI extended -release
Januvia 	sitagliptin phosphate
Jardiance Tablet 	empagliflozin
Jelmyto 	mitomycin
Jentadueto tablet 	linagliptin/metformin HCI
Jentadueto XR 	linagliptin and metformin hydrochloride extended-release
Jevity 1 Cal 	Jevity 1 Cal
Jevity 1.2 Cal 	Jevity 1.2 Cal
Jevity 1.5 Cal 	Jevity 1.5 Cal
Jevtana 	cabazitaxel
Jivi 	antihemophilic factor (recombinant) PEGylated
Jublia 	efinaconazole
Juluca 	dolutegravir and rilpivirine
Jynarque 	tolvaptan
Kadcyla 	ado-trastuzumab emtansine
Kalbitor 	ecallantide
Kaletra oral solution 	lopinavir/ritonavir oral solution
Kaletra tablets 	lopinavir/ritonavir capsules
Kalydeco 	ivacaftor
Kanjiniti 	trastuzumab-anns
Kanuma 	sebelipase alfa
Katerzia 	amlodipine oral suspension
Kazano 	alogliptin and metformin HCL
Kepivance 	palifermin
Ketonex-1 Powder 	Ketonex-1 Powder
Ketonex-2 Powder 	Ketonex-2 Powder
Keveyis tablet 	dichlorphenamide tablet
Kevzara 	sarilumab
Keytruda 	pembrolizumab
Khapzory 	levoleucovorin injection
Kineret 	anakinra
Kisqali 	ribociclib
Kisqali Femara Co-Pack tablets 	ribociclib and letrozole
Klor-Con 8mEQ 	potassium chloride ER tablet
Klor-Con M10 	potassium chloride ER tablet
Kogenate FS 	antihemophilic factor (recombinant)
Kombiglyze XR 	saxagliptin/metformin hcl extended-release
Korlym tablets 	mifepristone
Koselugo 	selumetinib
Kovaltry 	antihemophilic factor (recombinant)
Kristalose oral solution 	lactulose
Krystexxa IV 	pegloticase
Kuvan 	sapropterin dihydrochloride
Kyleena 	levonorgestrel-releasing intrauterine system
Kynmobi 	apomorphine hydrochloride
Kyprolis Injection 	carfilzomib
Lacrisert Ophthalmic insert 	hydroxypropyl cellulose opthalmic insert
Lamictal 	lamotrigine
Lamictal ODT (patient titration kits) 	lamotrigine
Lamictal Starter Kits 	lamotrigine
Lamictal XR 	lamotrigine
LAMICTAL XR Patient Titration Kits 	lamotrigine
Lantus 	insulin glargine
Lantus (SoloStar pen) 	insulin glargine
Latuda tablets 	lurasidone HCI
Lemtrada 	alemtuzumab
Lenvima 	lenvatinib
Letairis Tablets 	ambrisentan
Leukine 	sargramostim
Levemir 	insulin detemir (rDNA) injection
Levoxyl 	levothyroxine
Lexapro 	escitalopram oxalate
Lexiscan 	regadenoson injection
Lexiva 	fosamprenavir calcium
Lialda 	mesalamine
Libtayo injection 	cemiplimab-rwlc
Liletta Intrauterine Contraceptive Device 	levonorgestrel
Lincocin 	lincomycin
Linzess Capsules 	linaclotide
Lioresal injectable 	baclofen injectable; intrathecal
Lipitor 	atorvastatin calcium
Livalo 	pitavastatin
LMD 	medical food
LMX Anesthetic Cream 4% 	lidocaine topical
Locoid Lipocream 	hydrocortisone
Locoid Lotion .1% 	hydrocortisone butyrate
Lokelma 	sodium zirconium cyclosilicate
Lomotil 	diphenoxylate hydrochloride/atropine sulfate
Lonsurf 	trifluridine and tipiracil
Lopid 	gemfibrozil
Lorbrena 	lorlatinib
Lotemax Gel 0.5% 	loteprednol etabonate ophthalmic
Lotronex 	alosetron HCL
Lovenox 	enoxaparin sodium
Lucemyra 	lofexidine tablet
Lucentis 	ranibizumab injection
Lumigan 	bimatoprost ophthalmic solution
Lumizyme IV 	alglucosidase alfa
Lumoxiti 	moxetumomab pasudotox
Lupaneta Pack Injection/Tablet 	leuprolide acetate/norethindrone acetate
Lupron Depot 	leuprolide acetate
Lupron Depot (ped) 	leuprolide acetate for depot supspension
Lutathera 	lutetium Lu 177 dotatate
Luzu Cream 	luliconazole
Lynparza 	olaparib
Lynparza Capsule 	olaparib
Lyrica 	pregabalin
Lyrica CR 	pregabalin
Lyumjev 	insulin lispro-aabc injection
M-M-R ll 	measles, mumps, and rubella virus vaccine live
Macugen injection 	pegaptanb sodium
Makena Injection 	hydroxyprogesterone caproate
Malarone tablets 	atovaquone and proguanil hcl
Marqibo Injectable 	vinCRIStine sulfate
Mastisol 	liquid adhesive
Mavenclad 	cladribine tablet
Mavyret 	glecaprevir/pibrentasvir
Maxalt 	rizatriptan benzoate
Maxalt-MLT 	rizatriptan benzoate
Maxidex 	dexamethasone suspension
Mayzent 	siponimod
Medrol 	methylprednisolone
Mekinist 	trametinib
Menactra 	Polysaccharide Diphtheria Toxoid Conjugate Vaccine
Menest 	esterified estrogens
Menostar 	estradiol transdermal system
Mephyton tablets 	phytonadione
Mepron suspension 	atovaquone
Mepsevii 	vestronidase alfa-vjbk injection
MicroMatrix 	medical device
Mirena 	levonorgestrel-releasing intrauterine system
Modulen 	medical food
Monjuvi 	tafasitamab-cxix injection
Monoclate-P 	Antihemophilic Factor (Human) Factor VIII:C Pasteurized
MonoNine Injection 	factor ix
Monovisc 	sodium hyaluronate
Monurol Powder 	fosfomycin
Motegrity 	prucalopride
Movantik 	naloxegol oxalate
MoviPrep 	polyethylene glycol 3350, sodium sulfate, sodium chloride, potassium chloride, sodium ascorbate, and ascorbic acid for oral solution
Mozobil 	plerixafor injection
Multaq 	dronedarone tablets
Mvasi 	bevacizumab-awwb
Mycamine injection 	micafungin sodium
Mycapssa capsule 	octreotide
Mycobutin 	rifabutin
Mydayis 	mixed salts of a single-entity amphetamine product
Myfortic 	mycophenolic acid
Mylotarg 	gemtuzumab
Myobloc Injection 	rimabotulinumtoxinB
Myrbetriq 	mirabegron
Mytesi tablet; delayed-release 	crofelemer
Naglazyme 	galsulfase
Namenda 	memantine hcl
Namenda XR capsule 	memantine
Namzaric Capsules 	memantine hydrochloride extended-_release and donepezil _hydrochloride
Nardil 	phenelzine sulfate
Nasonex 	mometasone furoate
Natazia 	estradiol valerate and estradiol valerate/dienogest
Nayzilam 	midazolam
Neocate 	medical food
NeoProfen Injection 	ibuprofen lysine
Neoral 	cyclosporine
Nepro with Carb Steady 	Nepro
Nerlynx 	neratinib maleate
Nesina 	alogliptin
Neulasta 	pegfilgrastim
Neulasta Onpro 	pegfilgrastim
Neupogen 	filgrastim
Neupro Transdermal System 	rotigotine
Neurontin 	gabapentin
Nevanac 	nepafenac suspension
Nexavar 	sorafenib
Nicotrol 	nicotine
Ninlaro 	ixazomib
Nitrostat 	nitroglycerin
Nityr 	nitisinone tablet
Nivestym 	filgrastim-aafi
Norditropin FlexPro Injection 	somatropin (rDNA origin)
Noritate Cream 	metronidazole
Norpace 	disopyramide
Northera Capsule 	droxidopa
Norvasc 	amlodipine besylate
Norvir oral solution 	ritonavir oral solution
Norvir Soft Gelatin Capsules 	ritonavir soft gelatin capsules
Norvir Tablets 	ritonavir tablets
Nourianz 	istradefylline tablet
Novasource Renal 	medical food
Novoeight vial 	antihemophilic factor (recombinant) vial
NovoFine 30G 	needles
Novolin 70/30 Vials 	insulin (rDNA)
Novolin N Vials 	70% NPH/30% regular human insulin (rDNA)
Novolin R Vials 	regular, human insulin injection (rDNA)
NovoLog 	insulin analog injection
NovoLog Mix 70/30 	insulin analog injection
NovoSeven RT injection 	coagulation factor viia (recombinant)
Noxafil 	posaconazole
Nplate 	romiplostim
Nubeqa 	darolutamide
Nucala 	mepolizumab
Nuedexta 	dextromethorphan hydrobromide and quinidine sulfate
Nulojix 	belatacept
Nuplazid 	pimavanserin
Nurtec ODT 	rimegepant
NuShield 	wound dressing
Nutramigen 	medical food
Nutramigen with Enflora 	medical food
Nutren 1.0 with Fiber 	nutren 1.0 with fiber
Nutren 1.5 	nutren 1.5
Nutren Junior 	nutren junior
Nutren Junior Fiber 	nutren junior fiber
Nutropin AQ 	somatropin (rDNA) injection
Nuvigil 	armodafinil
OA 	medical food
Obizur 	Antihemophilic Factor (Recombinant)
Ocaliva 	obeticholic acid tablet
Ocrevus 	ocrelizumab
Odefsey 	emtricitabine/rilpivirine/tenofovir alafenamide
Odomzo 	sonidegib
Ofev Capsule 	nintedanib
Ogivri 	trastuzumab-dkst injection
Olumiant 	baricitinib
Omidria solution 	phenylephrine/ketorolac tromethamine solution
Omnitrope 	somatropin [rDNA origin] for injection
Onexton Gel 	clindamycin phosphate and benzoyl peroxide
Onfi Tablet 	clobazam
Onglyza 	saxagliptin
Onivyde injection 	irinotecan liposome
Onpattro 	patisiran
Onureg 	azacitidine tablet
Opdivo Yervoy 	nivolumab ipilimumab
Opdivo Injection 	nivolumab
Opsumit Tablet 	macitentan
ORAP (tablets) 	pimozide
Orbactiv 	oritavancin
Orencia 	abatacept
Orenitram tablet; extended release 	treprostinil
