Rank	Name	Gender	since 1950	since 2000	TOTAL 1880-2018
49	Gary	Male	636,649	13,068	900,367
50	Nicholas	Male	848,300	239,574	900,283
51	Anna	Female	393,688	137,468	892,785
52	Eric	Male	855,241	98,715	877,154
53	Sandra	Female	560,770	13,384	873,798
54	Stephen	Male	698,251	42,168	858,041
55	Emily	Female	773,846	332,839	850,263
56	Ashley	Female	846,022	168,173	846,120
57	Jonathan	Male	827,519	218,927	839,678
58	Kimberly	Female	835,622	74,161	836,865
59	Donna	Female	554,533	4,700	830,845
60	Ruth	Female	148,628	18,582	824,855
61	Carol	Female	376,194	3,989	816,291
62	Michelle	Female	804,438	59,690	810,539
63	Larry	Male	473,745	14,156	805,727
64	Laura	Female	624,144	34,424	795,619
65	Amanda	Female	764,199	56,810	785,766
66	Justin	Male	771,374	165,894	775,952
67	Raymond	Male	345,996	32,707	773,028
68	Scott	Male	753,056	22,548	771,601
69	Samuel	Male	582,003	236,887	759,924
70	Brandon	Male	756,415	194,267	756,893
71	Melissa	Female	748,595	45,930	754,292
72	Benjamin	Male	664,464	258,348	748,465
73	Rebecca	Female	658,164	59,806	748,406
74	Deborah	Female	691,564	7,405	740,705
75	Stephanie	Female	721,674	64,863	740,340
76	Sharon	Female	468,108	7,706	721,634
77	Kathleen	Female	467,939	13,579	711,909
78	Cynthia	Female	633,905	20,717	709,180
79	Gregory	Male	656,975	29,696	707,550
80	Jack	Male	341,622	171,645	693,969
81	Amy	Female	665,188	46,984	691,753
82	Henry	Male	295,134	124,311	689,814
83	Shirley	Female	170,482	4,331	685,381
84	Patrick	Male	583,332	68,143	674,579
85	Alexander	Male	626,462	309,239	673,192
86	Emma	Female	453,498	358,667	672,893
87	Angela	Female	632,089	45,486	664,960
88	Catherine	Female	358,136	45,492	660,366
89	Virginia	Female	159,681	11,652	648,979
90	Katherine	Female	464,542	96,972	637,705
91	Walter	Male	190,850	17,423	622,099
92	Dennis	Male	414,167	15,853	617,953
93	Jerry	Male	336,933	16,135	612,660
94	Brenda	Female	489,620	18,234	607,096
95	Pamela	Female	518,510	7,019	594,305
96	Frances	Female	110,760	8,685	590,068
97	Tyler	Male	586,298	221,702	587,571
98	Nicole	Female	586,580	75,455	587,224
99	Christine	Female	467,644	12,123	584,855
100	Aaron	Male	557,126	151,675	581,330
101	Peter	Male	399,547	42,972	576,763
102	Samantha	Female	573,311	187,737	574,614
103	Evelyn	Female	214,165	117,107	573,403
104	Jose	Male	512,101	166,653	565,042
105	Rachel	Female	504,832	87,708	564,572
106	Alice	Female	139,204	35,274	563,738
107	Douglas	Male	424,835	12,756	557,703
108	Janet	Female	311,725	7,276	556,088
109	Carolyn	Female	267,809	9,921	555,160
110	Adam	Male	537,816	117,355	554,501
111	Debra	Female	544,355	1,702	550,391
112	Harold	Male	137,125	5,932	549,867
113	Nathan	Male	521,419	216,551	549,444
114	Martha	Female	174,336	9,437	548,773
115	Maria	Female	447,138	83,136	546,026
116	Marie	Female	139,292	10,744	536,691
117	Zachary	Male	534,491	182,641	535,320
118	Arthur	Male	174,735	18,737	528,941
119	Heather	Female	522,413	16,754	524,729
120	Diane	Female	369,839	3,367	518,070
121	Julie	Female	480,786	18,906	508,338
122	Joyce	Female	189,136	6,235	507,499
123	Carl	Male	222,140	11,087	503,060
124	Grace	Female	262,290	177,412	497,009
125	Victoria	Female	437,856	149,400	493,735
126	Albert	Male	159,088	15,330	488,248
127	Rose	Female	152,707	24,450	483,744
128	Joan	Female	135,288	1,809	480,039
129	Kyle	Male	475,992	98,813	479,464
130	Christina	Female	455,152	36,140	476,495
131	Kelly	Female	470,607	28,353	471,502
132	Ann	Female	221,734	6,760	468,626
133	Lauren	Female	465,995	124,489	468,196
134	Doris	Female	71,838	1,798	461,943
135	Julia	Female	287,250	103,912	459,021
136	Jean	Female	128,718	1,444	457,870
137	Lawrence	Male	214,851	12,957	457,358
138	Judith	Female	176,446	7,218	452,483
139	Olivia	Female	429,498	321,581	452,441
140	Kathryn	Female	304,495	35,791	451,947
141	Joe	Male	181,715	12,355	451,148
142	Mildred	Female	31,875	1,506	450,709
143	Willie	Male	164,892	8,056	448,946
144	Gerald	Male	197,288	7,923	447,462
145	Lillian	Female	158,134	109,049	444,800
146	Roger	Male	250,401	10,458	439,635
147	Cheryl	Female	366,647	1,601	439,250
148	Megan	Female	436,823	77,785	437,100
149	Jeremy	Male	435,371	59,193	436,224
150	Keith	Male	380,590	19,051	435,046
151	Hannah	Female	413,226	214,378	433,510
152	Andrea	Female	411,999	74,318	433,334
153	Ethan	Male	424,193	339,287	425,168
154	Sara	Female	340,240	62,927	424,738
155	Terry	Male	332,171	10,399	422,916
156	Jacqueline	Female	323,968	43,657	421,610
157	Christian	Male	415,565	220,516	421,512
158	Harry	Male	98,059	7,484	421,344
159	Jesse	Male	320,031	66,168	418,712
160	Sean	Male	417,012	84,457	417,790
161	Teresa	Female	368,039	10,602	413,688
162	Ralph	Male	126,370	4,542	412,640
163	Austin	Male	397,790	167,301	412,329
164	Gloria	Female	172,020	12,302	411,832
165	Janice	Female	222,308	4,455	405,760
166	Roy	Male	157,177	10,069	404,872
167	Theresa	Female	266,326	6,556	403,546
168	Louis	Male	153,804	20,560	396,351
169	Noah	Male	384,356	307,073	393,703
170	Bruce	Male	265,957	11,528	382,879
171	Billy	Male	181,040	8,507	382,668
172	Judy	Female	188,250	2,696	382,081
173	Bryan	Male	373,712	86,140	381,219
174	Madison	Female	380,781	285,066	380,781
175	Eugene	Male	117,053	6,281	378,802
176	Beverly	Female	167,435	2,999	377,088
177	Jordan	Male	371,405	161,026	374,513
178	Denise	Female	359,521	12,205	372,184
179	Jane	Female	166,047	16,197	371,533
180	Marilyn	Female	137,664	11,259	370,813
181	Amber	Female	368,874	45,540	370,581
182	Dylan	Male	369,752	228,700	369,752
183	Danielle	Female	366,088	46,356	367,138
184	Abigail	Female	364,321	260,121	366,323
185	Charlotte	Female	205,202	113,293	361,900
186	Diana	Female	290,756	41,487	359,205
187	Brittany	Female	358,472	23,184	358,472
188	Russell	Male	213,085	14,373	353,651
189	Natalie	Female	332,000	158,259	352,491
190	Wayne	Male	196,141	6,429	352,326
191	Irene	Female	72,856	9,104	352,199
192	Ruby	Female	105,645	51,635	351,681
193	Annie	Female	73,156	17,553	350,476
194	Sophia	Female	332,571	286,197	350,103
195	Alan	Male	272,743	51,671	348,939
196	Juan	Male	318,414	110,483	347,717
197	Gabriel	Male	338,155	217,261	346,093
198	Howard	Male	104,847	4,363	345,119
199	Fred	Male	80,144	2,492	342,994
200	Vincent	Male	249,903	68,686	341,193
201	Lori	Female	339,981	2,989	340,933
202	Philip	Male	209,865	16,689	339,577
203	Kayla	Female	338,228	122,930	338,424
204	Alexis	Female	336,999	169,736	338,333
205	Tiffany	Female	336,453	26,545	336,540
206	Florence	Female	22,141	2,139	335,462
207	Isabella	Female	326,852	306,218	335,390
208	Kathy	Female	297,357	4,312	333,630
209	Louise	Female	46,005	3,090	333,019
210	Logan	Male	330,139	250,011	332,939
211	Lois	Female	56,341	1,677	332,089
212	Tammy	Female	331,242	2,055	331,764
213	Crystal	Female	324,770	24,915	330,281
214	Randy	Male	312,867	15,626	327,668
215	Bonnie	Female	165,994	4,707	324,421
216	Phyllis	Female	89,892	474	322,391
217	Anne	Female	174,890	12,557	321,614
218	Taylor	Female	320,446	137,054	320,446
219	Victor	Male	235,432	64,645	317,673
220	Bobby	Male	170,863	8,717	313,498
221	Erin	Female	311,964	42,975	313,233
222	Johnny	Male	214,248	24,659	312,531
223	Phillip	Male	236,849	20,492	307,971
224	Martin	Male	203,744	30,825	307,609
225	Josephine	Female	77,344	34,693	307,270
226	Alyssa	Female	306,498	150,612	306,498
227	Bradley	Male	296,638	42,278	305,641
228	Ella	Female	168,810	145,050	304,948
229	Shawn	Male	302,231	34,081	302,731
230	Clarence	Male	73,750	4,203	302,615
231	Travis	Male	291,313	39,553	302,345
232	Ernest	Male	105,932	5,328	301,046
233	Stanley	Male	122,967	7,282	299,175
234	Allison	Female	297,456	105,448	298,751
235	Craig	Male	275,008	7,793	298,728
236	Shannon	Female	292,969	14,892	295,024
237	Elijah	Male	282,938	233,495	294,472
238	Edna	Female	32,262	2,016	294,376
239	Peggy	Female	136,451	521	292,610
240	Tina	Female	282,787	4,622	291,566
241	Leonard	Male	111,925	7,397	291,416
242	Robin	Female	282,377	4,497	289,670
243	Dawn	Female	274,748	2,404	288,993
244	Carlos	Male	267,359	95,550	288,859
245	Earl	Male	78,629	2,904	288,611
246	Eleanor	Female	72,440	45,035	288,417
247	Jimmy	Male	178,439	15,439	286,417
248	Francis	Male	89,956	9,356	285,802
249	Cody	Male	283,167	64,493	284,029
250	Caleb	Male	282,020	190,142	283,758
251	Mason	Male	279,075	236,543	283,409
252	Rita	Female	116,856	3,821	283,228
253	Danny	Male	227,115	17,083	283,209
254	Isaac	Male	255,945	176,759	282,912
255	Audrey	Female	173,231	88,577	281,553
256	Todd	Male	278,597	5,961	281,548
257	Wanda	Female	138,164	699	281,046
258	Clara	Female	68,853	36,392	280,156
259	Ethel	Female	18,915	362	278,732
260	Paula	Female	222,602	7,107	278,348
261	Cameron	Male	275,888	156,658	277,801
262	Norma	Female	75,006	2,759	277,458
263	Dale	Male	165,836	5,097	277,211
264	Ellen	Female	131,686	9,163	273,297
265	Luis	Male	261,968	110,142	273,209
266	Alex	Male	237,632	93,859	272,489
267	Marjorie	Female	43,813	3,348	272,450
268	Luke	Male	263,289	175,133	270,240
269	Jamie	Female	263,963	22,250	268,102
270	Nathaniel	Male	235,871	102,883	267,740
271	Allen	Male	166,181	20,633	267,721
272	Leslie	Female	248,044	40,215	267,081
273	Joel	Male	233,594	57,321	267,019
274	Evan	Male	260,655	152,825	266,614
275	Edith	Female	44,882	8,499	266,536
276	Connie	Female	183,485	2,014	266,402
277	Eva	Female	108,393	53,290	266,324
278	Gladys	Female	28,766	2,448	266,287
279	Carrie	Female	165,220	4,642	265,840
280	Ava	Female	259,010	245,496	265,818
281	Frederick	Male	128,192	10,531	261,451
282	Wendy	Female	251,888	12,712	260,945
283	Hazel	Female	51,501	34,289	260,372
284	Valerie	Female	238,308	39,043	259,416
285	Curtis	Male	186,032	14,563	258,397
286	Elaine	Female	111,982	7,966	257,740
287	Courtney	Female	256,700	31,427	257,498
288	Esther	Female	76,859	25,507	256,968
289	Cindy	Female	250,398	12,898	256,399
290	Vanessa	Female	253,414	61,551	253,925
291	Brianna	Female	252,613	134,658	252,613
292	Lucas	Male	251,184	176,917	252,546
293	Norman	Male	79,126	3,460	251,970
294	Marvin	Male	111,975	13,101	251,026
295	Tracy	Female	249,240	3,391	250,853
296	Tony	Male	203,067	15,384	248,980
297	Monica	Female	236,598	20,282	248,400
298	Antonio	Male	223,818	72,193	247,925
299	Glenn	Male	143,994	4,213	247,741
300	Melanie	Female	240,884	65,666	246,649
301	Jasmine	Female	246,259	103,193	246,380
302	Rodney	Male	204,268	9,816	245,568
303	Theodore	Male	129,044	43,070	243,603
304	Melvin	Male	98,385	9,604	242,760
305	Alfred	Male	76,176	5,069	241,906
306	Edwin	Male	124,862	33,286	241,283
307	Steve	Male	171,871	7,277	240,391
308	Chad	Male	239,096	11,606	239,857
309	Sylvia	Female	107,298	10,838	239,775
310	Jackson	Male	230,993	200,256	239,362
311	April	Female	235,444	18,310	238,723
312	Sheila	Female	189,055	4,124	238,026
313	Adrian	Male	226,931	126,181	237,044
314	Katie	Female	191,601	41,384	236,944
315	Hunter	Male	233,037	164,090	235,205
316	Alexandra	Female	231,400	90,020	233,781
317	Angel	Male	227,793	152,205	231,800
318	Lee	Male	123,780	7,399	231,130
319	Marcus	Male	218,963	57,963	230,919
320	Derek	Male	230,125	43,844	230,825
321	Erica	Female	229,565	23,191	230,258
322	Sherry	Female	192,614	1,583	229,715
323	Jeffery	Male	223,870	9,675	229,284
324	Mia	Female	229,111	199,789	229,222
325	Caroline	Female	170,285	77,477	228,558
326	Jesus	Male	207,047	92,500	228,383
327	Herbert	Male	54,056	1,946	227,839
328	Ian	Male	225,385	109,745	226,925
329	Leah	Female	206,506	96,512	226,472
330	Pauline	Female	33,720	1,673	226,000
331	Alicia	Female	214,422	32,417	225,616
332	Thelma	Female	22,275	595	225,260
333	Lucille	Female	31,843	11,708	224,420
334	Michele	Female	211,001	2,206	223,085
335	Ricky	Male	213,844	12,677	220,867
336	Suzanne	Female	158,487	2,142	218,879
337	Veronica	Female	181,231	25,709	218,247
338	Kristen	Female	216,992	15,623	217,788
339	Wesley	Male	167,883	48,407	215,986
340	Isaiah	Male	209,217	162,440	214,387
341	Morgan	Female	214,198	96,684	214,230
342	Anita	Female	127,948	3,966	214,013
343	Liam	Male	212,650	197,918	212,655
344	Julian	Male	188,321	131,268	211,674
345	Troy	Male	190,570	25,740	211,583
346	Joanne	Female	109,845	2,518	211,398
347	Dolores	Female	35,999	1,046	211,012
348	Geraldine	Female	41,975	2,985	210,522
349	Connor	Male	210,025	148,964	210,176
350	Chloe	Female	205,751	175,149	210,125
351	Eddie	Male	117,652	10,957	209,714
352	Jayden	Male	209,541	206,323	209,541
353	Lorraine	Female	71,516	2,306	208,669
354	Rhonda	Female	202,652	769	207,958
355	Jill	Female	194,169	1,736	207,928
356	Vivian	Female	94,506	38,940	207,837
357	Bertha	Female	23,862	975	207,642
358	Juanita	Female	65,718	2,742	207,178
359	Dustin	Male	205,100	22,556	205,394
360	Aiden	Male	205,192	203,451	205,192
361	Leo	Male	89,010	49,350	204,864
362	Mike	Male	141,973	5,069	204,551
363	Darlene	Female	129,355	3,926	204,159
364	Sally	Female	95,116	4,504	203,881
365	Calvin	Male	135,382	36,487	202,919
366	Lucy	Female	93,665	56,847	202,620
367	Ray	Male	82,337	6,915	202,425
368	Gail	Female	128,982	434	201,615
369	Oscar	Male	130,522	53,868	200,800
370	Holly	Female	195,692	17,718	200,467
371	Jared	Male	199,342	47,853	200,282
372	Leroy	Male	61,415	4,058	199,090
373	Bernard	Male	66,834	3,703	199,089
374	Randall	Male	173,266	6,119	197,484
375	Jeremiah	Male	190,744	117,047	196,147
376	June	Female	49,105	10,546	193,399
377	Dana	Female	183,756	11,486	191,812
378	Amelia	Female	152,543	113,927	191,791
379	Beatrice	Female	32,404	6,808	191,101
380	Brooke	Female	189,938	77,005	190,375
381	Jay	Male	145,324	15,167	189,569
382	Shane	Male	188,434	37,850	188,629
383	Marion	Female	26,050	2,324	188,391
384	Debbie	Female	183,770	886	187,673
385	Madeline	Female	133,980	77,734	187,472
386	Owen	Male	167,057	143,478	187,306
387	Clifford	Male	77,892	3,154	187,245
388	Claire	Female	138,844	82,537	186,762
389	Eileen	Female	86,361	7,213	186,474
390	Ida	Female	23,104	2,166	186,399
391	Manuel	Male	130,371	36,128	184,429
392	Renee	Female	170,124	8,273	184,219
393	Lynn	Female	147,010	2,160	181,904
394	Bernice	Female	23,563	1,424	181,823
395	Corey	Male	181,516	24,844	181,780
396	Ronnie	Male	129,782	6,893	181,403
397	Barry	Male	136,419	3,003	180,372
398	Kim	Female	177,971	1,405	179,526
399	Kristin	Female	177,183	7,233	179,038
400	Jo	Female	93,095	434	178,803
401	Elsie	Female	22,237	10,396	178,650
402	Regina	Female	136,440	10,018	178,480
403	Gertrude	Female	6,187	334	176,886
404	Miguel	Male	169,609	70,789	176,767
405	Warren	Male	78,284	11,374	176,760
406	Dean	Male	130,448	23,269	176,157
407	Tommy	Male	109,911	9,924	176,119
408	Gavin	Male	175,063	147,655	175,526
409	Blake	Male	173,616	89,584	175,294
410	Loretta	Female	68,215	2,460	175,076
411	Stella	Female	70,747	50,975	174,691
412	Rosa	Female	81,183	12,151	174,125
413	Tara	Female	173,702	11,214	174,101
414	Roberta	Female	72,733	1,051	171,133
415	Cathy	Female	153,877	1,370	170,138
416	Sydney	Female	167,082	102,944	170,085
417	Bessie	Female	11,152	278	170,038
418	Charlie	Male	65,031	22,973	169,733
419	Savannah	Female	166,407	112,257	169,654
420	Annette	Female	119,003	5,054	168,054
421	Cassandra	Female	164,729	25,988	167,700
422	Jessie	Female	47,131	9,763	167,462
423	Dominic	Male	152,951	98,699	167,454
424	Lydia	Female	117,879	55,919	167,114
425	Don	Male	70,208	2,508	166,945
426	Leon	Male	72,743	14,917	166,618
427	Oliver	Male	127,665	104,898	166,396
428	Jon	Male	140,072	9,486	166,208
429	Laurie	Female	159,208	1,347	166,134
430	Molly	Female	151,020	57,028	165,107
431	Kaitlyn	Female	163,047	84,517	163,047
432	Jeanne	Female	74,539	915	162,980
433	Jeanette	Female	77,856	2,825	162,959
434	Stacy	Female	162,170	6,067	162,918
435	Chase	Male	162,498	104,183	162,721
436	Colleen	Female	137,797	5,058	162,260
437	Mitchell	Male	145,950	21,792	161,932
438	Seth	Male	157,759	61,943	161,357
439	Naomi	Female	101,642	55,815	160,706
440	Hailey	Female	160,434	126,132	160,434
441	Bill	Male	58,436	1,238	160,315
442	Lloyd	Male	50,771	2,613	160,273
443	Jerome	Male	93,028	6,830	159,909
444	Chelsea	Female	159,812	28,045	159,881
445	Alma	Female	41,301	7,985	159,366
446	Beth	Female	141,382	1,321	159,132
447	Alvin	Male	68,936	9,290	158,903
448	Darrell	Male	122,535	6,462	158,853
449	Minnie	Female	10,790	793	158,841
450	Carter	Male	154,362	138,633	158,559
451	Agnes	Female	12,651	2,051	157,960
452	Landon	Male	156,175	134,771	157,673
453	Brett	Male	157,064	18,322	157,661
454	Trevor	Male	156,448	53,270	157,005
455	Rosemary	Female	63,532	9,074	156,633
456	Wyatt	Male	154,435	130,064	156,597
457	Pearl	Female	17,963	5,999	156,514
458	Joann	Female	75,451	1,758	156,449
459	Lindsey	Female	155,947	26,177	156,120
460	Lillie	Female	27,799	10,282	156,062
461	Haley	Female	155,739	69,198	156,019
462	Yvonne	Female	97,596	3,127	155,444
463	Sebastian	Male	150,913	130,461	154,495
464	Floyd	Male	41,961	1,921	153,869
465	Micheal	Male	138,389	10,093	153,599
466	Gordon	Male	61,012	4,313	153,282
467	Vicki	Female	128,230	498	153,225
468	Jim	Male	71,019	1,427	152,879
469	Erik	Male	151,322	32,070	152,603
470	Georgia	Female	54,927	20,798	152,359
471	Gina	Female	150,350	6,544	152,276
472	Edgar	Male	89,113	33,381	152,036
473	Lewis	Male	55,127	7,433	151,264
474	Devin	Male	151,021	64,857	151,056
475	Max	Male	102,313	58,686	150,976
476	Nora	Female	86,866	48,987	150,545
477	Nellie	Female	13,710	2,514	149,572
478	Carla	Female	136,071	9,052	148,605
479	Levi	Male	138,224	97,910	148,284
480	Lily	Female	135,108	118,849	148,104
481	Stacey	Female	146,975	4,000	147,325
482	Kelsey	Female	146,956	32,599	146,997
483	Destiny	Female	146,272	89,736	146,272
484	Willie	Female	15,334	33	146,156
485	Terri	Female	141,526	1,400	145,898
486	Vernon	Male	53,038	2,566	145,573
487	Shelby	Female	134,027	41,843	145,139
488	Mario	Male	130,417	34,539	145,058
489	Jenna	Female	144,587	57,037	144,997
490	Chris	Male	131,499	12,732	144,571
491	Sue	Female	66,851	377	144,478
492	Maureen	Female	99,521	1,461	144,028
493	Heidi	Female	141,866	18,503	143,327
494	Clyde	Male	39,335	3,487	142,494
495	Derrick	Male	142,046	21,484	142,461
496	Arlene	Female	47,441	4,043	142,154
497	Violet	Female	56,591	45,851	141,983
498	Daisy	Female	79,748	38,886	141,868
499	Marian	Female	32,138	3,798	140,551
500	Vera	Female	30,869	9,360	140,110
501	Ricardo	Male	133,585	40,071	139,989
502	Wilma	Female	19,582	523	139,802
503	Paige	Female	138,983	66,758	139,506
504	Tom	Male	63,038	1,791	139,306
505	Marc	Male	132,168	12,188	139,231
506	Constance	Female	64,762	3,109	139,092
507	Brent	Male	133,441	8,643	138,840
508	Lena	Female	39,957	15,304	138,212
509	Carmen	Female	103,463	19,990	137,605
510	Sabrina	Female	136,740	31,594	136,798
511	Myrtle	Female	4,868	25	136,450
512	Faith	Female	124,797	78,297	136,274
513	Franklin	Male	66,628	11,037	136,105
514	Cole	Male	135,372	90,087	136,096
515	Kristina	Female	134,604	12,779	135,647
516	Herman	Male	33,791	1,764	135,551
517	Cora	Female	48,810	31,910	135,490
518	Joy	Female	96,882	12,633	135,329
519	Melinda	Female	128,330	3,947	135,146
520	Mabel	Female	10,114	5,064	134,949
521	Xavier	Male	133,740	96,786	134,606
522	Maurice	Male	79,585	11,474	134,504
523	Francisco	Male	119,801	40,469	134,088
524	Gabrielle	Female	132,773	64,641	134,067
525	Sofia	Female	131,686	118,244	133,901
526	Deanna	Female	114,019	9,140	133,760
527	Alejandro	Male	130,551	66,137	133,313
528	Ivan	Male	108,356	57,854	133,264
529	Marcia	Female	77,138	1,077	133,038
530	Charlene	Female	85,657	2,972	132,945
531	Katelyn	Female	131,501	63,736	131,501
532	Viola	Female	12,778	2,355	131,384
533	Mattie	Female	19,330	5,666	131,300
534	Clayton	Male	99,343	31,247	131,091
535	Jordan	Female	131,004	54,545	131,004
536	Jorge	Male	128,879	49,338	130,880
537	Garrett	Male	126,876	49,598	130,766
538	Tamara	Female	127,770	6,686	130,464
539	Lester	Male	39,329	2,272	129,916
540	Lindsay	Female	129,169	15,402	129,555
541	Marlene	Female	61,738	7,329	129,443
542	Gilbert	Male	60,895	5,570	129,006
543	Elmer	Male	20,200	3,689	128,398
544	Mackenzie	Female	127,363	87,157	127,363
545	Kaylee	Female	127,323	98,353	127,328
546	Nina	Female	78,516	22,392	126,912
547	Zoe	Female	123,586	101,622	126,893
548	Jennie	Female	32,408	1,788	126,650
549	Claudia	Female	92,003	14,963	126,621
550	Gene	Male	46,910	1,611	126,307
551	Avery	Female	125,405	117,131	125,883
552	Alexa	Female	125,552	88,051	125,843
553	Cory	Male	125,553	11,996	125,739
554	Colin	Male	122,468	62,425	125,667
555	Glen	Male	67,945	2,390	125,215
556	Sadie	Female	71,686	54,630	125,159
557	Grant	Male	109,888	50,173	124,660
558	Sam	Male	43,001	10,305	124,257
559	Erika	Female	123,290	20,855	124,008
560	Autumn	Female	123,509	72,788	123,795
561	Jake	Male	110,776	60,018	123,068
562	Andre	Male	119,556	30,221	122,953
563	Colton	Male	121,748	86,841	121,835
564	Addison	Female	121,435	117,751	121,435
565	Eli	Male	112,248	91,983	121,334
566	Harvey	Male	36,162	6,162	120,960
567	Chester	Male	29,648	1,615	120,782
568	Tonya	Female	119,250	1,038	120,324
569	Jeff	Male	107,185	2,232	119,964
570	Marissa	Female	119,481	39,151	119,507
571	Priscilla	Female	79,344	15,160	119,367
572	Patsy	Female	32,323	395	119,311
573	Isabel	Female	89,253	56,501	119,138
574	Angelina	Female	93,138	62,175	118,965
575	Gwendolyn	Female	76,158	10,847	118,621
576	Brayden	Male	118,178	112,516	118,178
577	Delores	Female	32,418	417	117,690
578	Spencer	Male	108,011	40,188	117,091
579	Milton	Male	38,710	3,867	116,951
580	Gabriella	Female	116,396	91,877	116,875
581	Tanya	Female	113,897	5,249	116,469
582	Maggie	Female	56,575	28,790	115,545
583	Duane	Male	70,744	2,578	114,934
584	Bryce	Male	111,704	66,915	114,410
585	Sophie	Female	73,558	61,096	113,974
586	Preston	Male	96,302	53,549	113,238
587	Leslie	Male	49,516	1,396	112,726
588	Yolanda	Female	94,645	3,215	112,472
589	Genevieve	Female	40,763	22,099	112,467
590	Maxine	Female	22,512	3,685	112,207
591	Tristan	Male	112,176	79,282	112,195
592	Alison	Female	109,916	22,655	112,077
593	Ruben	Male	93,684	23,342	111,954
594	Jimmie	Male	39,535	1,980	111,927
595	Aubrey	Female	110,690	90,724	111,528
596	Caitlin	Female	111,448	27,080	111,448
597	Miranda	Female	110,639	35,259	111,179
598	Mae	Female	15,374	5,571	110,744
599	Carole	Female	31,060	294	110,643
600	Casey	Male	108,865	17,283	110,635
601	Taylor	Male	106,208	24,326	110,390
602	Jessie	Male	56,049	8,142	110,212
603	Reginald	Male	92,760	8,085	110,145
604	Vickie	Female	98,993	344	109,989
605	Aidan	Male	109,833	100,319	109,838
606	Kylie	Female	109,671	80,203	109,671
607	Miriam	Female	62,785	20,968	109,215
608	Glenda	Female	63,043	1,089	109,056
609	Leona	Female	18,797	5,148	108,936
610	Mariah	Female	106,981	56,865	108,579
611	Roberto	Male	98,091	26,667	108,467
612	Carson	Male	103,567	88,015	107,750
613	Everett	Male	51,933	28,783	107,287
614	Josiah	Male	105,860	89,229	107,195
615	Riley	Female	106,858	95,847	106,901
616	Diego	Male	105,961	86,388	106,692
617	Brandy	Female	106,140	5,195	106,204
618	Cecil	Male	30,238	2,004	106,194
619	Dan	Male	61,267	2,324	105,920
620	Margie	Female	26,406	425	105,858
621	Jocelyn	Female	103,783	63,170	105,732
622	Dora	Female	26,924	2,176	105,352
623	Parker	Male	101,703	80,941	104,503
624	Joanna	Female	91,151	23,059	104,264
625	Marsha	Female	73,713	533	104,073
626	Lance	Male	98,038	14,909	103,639
627	Eduardo	Male	100,599	46,062	103,620
628	Arnold	Male	34,226	2,575	103,074
629	Neil	Male	71,617	7,372	102,552
630	Hector	Male	95,424	32,008	102,542
631	Makayla	Female	102,255	81,500	102,255
632	Brooklyn	Female	102,218	92,691	102,218
633	Darren	Male	101,907	14,022	101,977
634	Ana	Female	98,287	36,288	101,797
635	Johnnie	Male	37,589	2,409	101,573
636	Brandi	Female	101,551	5,096	101,556
637	Billie	Female	37,753	2,025	101,502
638	Katrina	Female	99,155	11,549	100,609
